"Serial #","Building Name","Location","Floor","Installed","Sharp ID #","IP Address","B/W Meter","Colour Meter","Model",,
9502816200,"1685 Main st 3d floor",306,"3RD","Y",55744,"http://130.113.206.30",241279,79861,"MX-3101N",,
8505879400,"ABB",156,"2ND","Y",44499,"http://130.113.57.245",481693,102198,"MX-4501N",,
8504187300,"ABB",213,"2nd","Y",44964,"http://130.113.57.158",165316,17975,"MX-3501N",,
8500259800,"ABB",245,"4TH","Y",50069,"http://130.113.172.49",1210299,76099,"MX-5500N",,
8506323800,"ABB",448,"4th","Y",50307,"http://130.113.57.192",109580,18656,"MX-4501N",,
8000772000,"ABB","B166A","bsmt","Y",55543,"http://130.113.54.103",61647,1153,"MX-C311",,
8504439500,"ALUMNI HOUSE",203,"2ND","Y",46878,"http://130.113.79.34",256816,42570,"MX-3501N",,
8500871600,"Brandom Hall","Pro shop","1st","Y",45069,"http://130.113.124.125",198928,32835,"MX-3501N",,
9502818200,"Brock","CFHRC","1st","Y",55745,"http://130.113.157.40",127052,56177,"MX-3100N",,
9503442500,"Brock","CFHRC","1st","Y",75114457,"http://130.113.157.41",198648,47475,"MX-2600N",,
8505138600,"BSB","ROOM 242","2nd","Y",43851,"http://130.113.7.6",45871,10363,"MX-3501N",,
8506330800,"BSB",101,"1st","Y",50302,"http://130.113.210.220",137511,36036,"MX-4501N",,
8500977600,"BSB",319,"3rd","Y",62172,"http://130.113.210.120",145002,5128,"MX-3501N",,
9211185300,"BSB","B237","1st","Y",75123412,"http://130.113.234.67",1150,794,"MX-C310",,
8506947200,"BURKE SCIENCE",245,"2ND","Y",44846,"http://130.113.220.168",166131,120973,"MX-2700N",,
8506932200,"Burke Science",129,"1ST","y",44860,"http://130.113.210.86",106378,32253,"MX-2700N",,
8505463600,"BURKE SCIENCE ","ROOM  B231","2nd","Y",43907,"http://130.113.234.160",221921,91775,"MX-3501N",,
8500912600,"BURKE SCIENCE ",246,"2ND","Y",44736,"http://130.113.220.143",102012,89384,"MX-3501N",,
8500914600,"BURKE SCIENCE ","ROOM 235","2nd","Y",45073,"http://130.113.220.174",123727,106057,"MX-3501N",,
8504766900,"BURKE SCIENCE ",202,"2nd","Y",54058,"http://130.113.220.28",71294,79174,"MX-3501N",,
8507280200,"Burlington ","main lobby","2nd","Y",42006,"http://130.113.98.45",90775,16066,"MX-3501N",,
8506994200,"Burlington ","Deans Area","2nd","Y",45901,"http://130.113.98.20",384700,12397,"MX-2700N",,
6505437600,"Burlington ","main reception","1st","Y",73563,"http://130.113.55.19",126429,14789,"MX-3501N",,
6505607400,"Burlington ",329,"3rd","Y",73567,"http://130.113.106.19",142676,3,"MX-3501N",,
6506291300,"Burlington ",345,"3rd","Y",73571,"http://130.113.106.20",115085,101512,"MX-3501N",,
8505885400,"CAMPUS SERVICES",202,"2ND","Y",41277,"http://130.113.195.87",479906,151174,"MX-4501N",,
83127227,"Campus services",204,"2nd","Y",41959,"http://130.113.195.221",53012,,"AR-M207",,
8505106600,"Campus Services",121,"1st","Y",43884,"http://130.113.195.112",478969,290712,"MX-3501N",,
8505967600,"CAMPUS SERVICES",202,"2ND","Y",45010,"http://130.113.195.157",486006,190212,"MX-4501N",,
8505454600,"CAMPUS SERVICES",102,"1ST","Y",45078,"http://130.113.195.168",503634,73713,"MX-3501N",,
8506926200,"CAMPUS SERVICES",204,"2nd","Y",45543,"http://130.113.195.49",107190,32810,"MX-2700N",,
8505455600,"CHEDOKE","OPEN AREA","2ND","Y",45505,"http://130.113.52.6",155477,255,"MX-3501N",,
8507422800,"Chedoke","main lobby","4th","Y",55419,"http://130.113.52.7",304292,13285,"MX-3501N",,
8507983100,"CHESTER NEW HALL",111,"1st","Y",41951,"http://130.113.171.127",153612,53379,"MX-3501N",,
8506938200,"CHESTER NEW HALL","ROOM 501","5TH","Y",44631,"http://130.113.187.102",307139,30522,"MX-3501N",,
8500850600,"CHESTER NEW HALL",627,"6th","Y",45506,"http://130.113.123.6",363019,40919,"MX-3501N",,
8506312800,"Chester new hall",112,"1st","Y",50272,"http://130.113.171.123",128767,41331,"MX-4501N",,
7503035800,"CNH","Room 107","1ST","Y",44874,"http://130.113.171.130",102422,39380,"MX-2700N",,
8506333800,"CNH",321,"3rd","Y",50273,"http://130.113.91.55",676506,58452,"MX-4501N",,
"8211234Y00","CNH",319,"3rd","Y",75123408,"http://130.113.91.59",21531,70,"MX-C310",,
8505895400,"Commons",129,116,"Y",41282,"http://130.113.143.117",460981,114904,"MX-4501N",,
8508034100,"Commons","OPEN AREA","1ST","Y",43582,"http://130.113.143.77",171064,3503,"MX-3501N",,
8506940200,"COMMONS",116,"1ST","Y",44704,"http://130.113.143.109",421492,107928,"MX-2700N",,
83006197,"Commons","Basement","bsm","Y",45072,"http://130.113.143.172",65140,,"AR-M207",,
8504397500,"Commons",105,"1st","Y",50105,"http://130.113.143.39",286697,29578,"MX-3501N",,
8506941200,"COURT HOUSE","5th Floor",513,"Y",44841,"http://130.113.88.124",181644,26025,"MX-2700N",,
8500798600,"COURTHOUSE",131,"1ST","Y",44710,"http://130.113.88.121",83343,34779,"MX-3501N",,
8505369600,"COURTHOUSE",120,"1ST","Y",44883,"http://130.113.16.187",240824,64824,"MX-3501N",,
8505494600,"COURTHOUSE","MAIN LOBBY","5TH","Y",44888,"http://130.113.88.115",511439,102027,"MX-3501N",,
8505499600,"COURTHOUSE",303,"3rd","Y",44919,"http://130.113.16.102",331601,16164,"MX-3501N",,
8504181300,"COURTHOUSE",413,"4th","y",44934,"http://130.113.88.27",194730,11304,"MX-3501N",,
8504638900,"COURTHOUSE",303,"3rd","Y",44939,"http://130.113.16.198",516252,1808,"MX-3501N",,
8504242300,"COURTHOUSE",406,"4TH","Y",44949,"http://130.113.88.119",631056,148245,"MX-3501N",,
8500872600,"COURTHOUSE",417,"4TH","Y",44971,"http://130.113.88.116",277756,2339,"MX-3501N",,
8500878600,"COURTHOUSE",411,"4TH","Y",44977,"http://130.113.88.118",237654,57268,"MX-3501N",,
9211745000,"Courthouse","Lower level","bsmt","Y",82016,"http://130.113.138.117",86632,17248,"MX-C311",,
